# data set header
# non-radiated data sets
# energy, error, normalization
1096,  0.05, 1.0

# data set selection
# energy
# data points
#  nu      cross section   stat. error       syst. error
1096.0
 469.0   7.600000E+01   0.000000E+00   0.000000E+00
 470.0   7.540000E+01   0.000000E+00   0.000000E+00
 471.0   7.480000E+01   0.000000E+00   0.000000E+00
 472.0   7.420000E+01   0.000000E+00   0.000000E+00
 473.0   7.370000E+01   0.000000E+00   0.000000E+00
 474.0   7.310000E+01   0.000000E+00   0.000000E+00
 475.0   7.260000E+01   0.000000E+00   0.000000E+00
 476.0   7.200000E+01   0.000000E+00   0.000000E+00
 477.0   7.150000E+01   0.000000E+00   0.000000E+00
 478.0   7.100000E+01   0.000000E+00   0.000000E+00
 479.0   7.040000E+01   0.000000E+00   0.000000E+00
 480.0   6.990000E+01   0.000000E+00   0.000000E+00
 481.0   6.940000E+01   0.000000E+00   0.000000E+00
 482.0   6.890000E+01   0.000000E+00   0.000000E+00
 483.0   6.850000E+01   0.000000E+00   0.000000E+00
 484.0   6.800000E+01   0.000000E+00   0.000000E+00
 485.0   6.750000E+01   0.000000E+00   0.000000E+00
 486.0   6.710000E+01   0.000000E+00   0.000000E+00
